Canonical_Pathways,SPRET,PWK,NOD,BALB,C57
Acute Phase Response Signaling,9.53682074778734,10.7128274969383,9.97722064174193,10.3387989378543,10.9856789516975
AMPK Signaling,0.413226914945122,0.323626841750157,0.314190711864844,1.47304852123187,1.08197395308037
Apoptosis Signaling,4.50537429753213,5.58837955823147,6.29995808868566,5.76927205257089,6.87486641896336
EIF2 Signaling,0,0.487797097043635,1.58438824210552,0.521495311055092,1.43702003951878
ERK/MAPK Signaling,2.41707583616241,3.18987352880257,3.41441349856029,3.0994726744895,3.67156819686031
IL-1 Signaling,4.79109668176127,3.56360830433327,4.31554566802144,4.51504103533197,5.55936454153404
IL-6 Signaling,10.3086236156861,12.4169629426603,11.6598272840025,12.8941586208188,14.0917920133351
IL-8 Signaling,3.30671161468945,3.09286248424048,2.7712262319978,2.98230328543272,5.23723062452556
Inflammasome pathway,2.9747848914544,3.1571603521032,2.77453771334588,2.88828054883764,3.59872281499833
Inhibition of ARE-Mediated mRNA Degradation Pathway,1.01493959133654,2.18090893542081,1.66676608805143,1.33603481094049,2.07961797026516
Interferon Signaling,1.34667869266258,3.16645595853627,2.73148712578473,3.75387416176655,3.53365469944497
p38 MAPK Signaling,3.23497359304297,4.21781458665883,4.74287324005683,3.62424291843927,3.91635746941955
p53 Signaling,3.0819626285378,2.04017119011085,1.58614588480252,2.88167297617721,2.04167380388065
PI3K/AKT Signaling,4.4178884802086,4.78259063900171,4.38356243973955,5.96221188921329,5.90494380610315
Unfolded protein response,1.51894328746619,1.67609591287117,3.42430602933545,2.79419404379639,3.33973427727668
