"Canonical_Pathways","SPRET","PWK","NOD","BALB","C57"
"Acute Phase Response Signaling","0.925130366897444","0.859084752833939","0.851695704197623","0.793467290025748","0.76124853958359"
"AMPK Signaling","0.0400855565544498","0","0","0.0769077106806805","0"
"Apoptosis Signaling","0.437049063531288","0.435343289275247","0.527583211286753","0.424142855109828","0.44527082846611"
"EIF2 Signaling","0","0.0135752660741086","0.111954716878557","0","0.0272906265709498"
"ERK/MAPK Signaling","0.234471247207481","0.237010421535932","0.273252432067928","0.208360746501526","0.199049228189532"
"IL-1 Signaling","0.464765895077487","0.267914613101613","0.352677871419135","0.322771712467552","0.34415474280399"
"IL-6 Signaling","1","1","1","1","1"
"IL-8 Signaling","0.320771398584948","0.228988561914021","0.216562156253699","0.198890724880206","0.319393910983243"
"Inflammasome pathway","0.288572461499887","0.234305363442251","0.216854028933299","0.19129149307044","0.193449966038086"
"Inhibition of ARE-Mediated mRNA Degradation Pathway","0.0984553931906253","0.153578969291267","0.119215468218699","0.0658338046944683","0.0766839330545762"
"Interferon Signaling","0.130636129794613","0.235074018704579","0.21305956686963","0.261251661811623","0.188448503661595"
"p38 MAPK Signaling","0.313812368522261","0.322011040825666","0.390342357613308","0.250774431478766","0.217864961924278"
"p53 Signaling","0.298969362296644","0.141941341416245","0.112109634823075","0.19075744696452","0.0737673537289644"
"PI3K/AKT Signaling","0.428562400269045","0.368712467762801","0.358672843255721","0.43973689754127","0.370717701868334"
"Unfolded protein response","0.147346856776776","0.111835895391945","0.274124355887474","0.183687107281731","0.173542805421224"
